;MMM;ADS;ANSS;BAC;CAH;CINF;COST;EOG;HD;IFF;LOW;MU;PCAR;PGR;ROK;SBUX;HSY;UPS;WAT
MMM;0;0.8269772127826008;0.7929211642107356;0.949827803061636;0.9015364784457102;0.8968150973959438;0.8846222473751585;0.7887383716240784;0.7522530553417286;0.9283767174971126;0.7792968267644509;0.812770505007358;0.9236990457833912;0.8253061045332489;0.9550613533358835;0.8814786313345679;0.5086431281441314;0.9577742460793501;0.8677192233448406
ADS;0.8269772127826008;0;0.8155316555906067;0.8158897578037346;0.8205881247704537;0.6680906239309972;0.8511351677542468;0.5558250359913619;0.6228869867859309;0.8380730517626388;0.7143308039344264;0.6286610999862975;0.8343498496563697;0.8147656124327978;0.7970313775152152;0.7557781149933278;0.6175575719578111;0.780129845743593;0.906561854714335
ANSS;0.7929211642107356;0.8155316555906067;0;0.7495698564652588;0.8041372019400167;0.5711615210514771;0.9063998485856223;0.8319300159696007;0.6467434425391717;0.8082775405623721;0.7086867274224207;0.6845440587060493;0.845765236672367;0.906157592508844;0.7585448921073918;0.724474720686366;0.4824575299814112;0.782751763476076;0.8515230070041792
BAC;0.949827803061636;0.8158897578037346;0.7495698564652588;0;0.9256577462954523;0.8829351904966016;0.887263613388634;0.728457097452218;0.7314601581507855;0.9402127623893924;0.7759278849825451;0.7612083047840112;0.8759230072662754;0.7703641827411604;0.9018063006225919;0.8507275505330724;0.5274944569484123;0.9475715162294316;0.8416546012376853
CAH;0.9015364784457102;0.8205881247704537;0.8041372019400167;0.9256577462954523;0;0.7965856642376191;0.9019812688376317;0.753471391104544;0.694754637173761;0.9238496597770436;0.7173430906587526;0.78423782997981;0.9029154712609089;0.828398282013087;0.9017244218388741;0.854305389372798;0.4961079548443582;0.8972173419206355;0.8981130293419636
CINF;0.8968150973959438;0.6680906239309972;0.5711615210514771;0.8829351904966016;0.7965856642376191;0;0.7416096445451694;0.6510350955912982;0.7894228268068385;0.8291722161657149;0.789157039466034;0.722860462545528;0.8324072762184116;0.6457608649396531;0.9029380208482752;0.7840651564997758;0.4845785302293566;0.9197819221833894;0.6755735840403286
COST;0.8846222473751585;0.8511351677542468;0.9063998485856223;0.887263613388634;0.9019812688376317;0.7416096445451694;0;0.8383206928526516;0.6960540408779756;0.9017323344903997;0.79019288494346;0.7429018635615212;0.8870766221071601;0.8656163590053718;0.8505586021664789;0.7775425443676534;0.4645339070212998;0.8866203790832126;0.866603274616543
EOG;0.7887383716240784;0.5558250359913619;0.8319300159696007;0.728457097452218;0.753471391104544;0.6510350955912982;0.8383206928526516;0;0.6224046406977786;0.7453139726106843;0.6555211066809628;0.746668862130022;0.7806737690053684;0.7587978528026482;0.7477748979353044;0.6618216627553658;0.2639666629697042;0.7908281592465871;0.666074361658162
HD;0.7522530553417286;0.6228869867859309;0.6467434425391717;0.7314601581507855;0.694754637173761;0.7894228268068385;0.6960540408779756;0.6224046406977786;0;0.7513188032872395;0.9125461305707736;0.7383772807880883;0.8037484736639987;0.7261199482555285;0.7813953436961564;0.7770516700747415;0.5413352338745162;0.8475914360650875;0.6065879373964126
IFF;0.9283767174971126;0.8380730517626388;0.8082775405623721;0.9402127623893924;0.9238496597770436;0.8291722161657149;0.9017323344903997;0.7453139726106843;0.7513188032872395;0;0.7424200111509197;0.827786874526492;0.9472231319342244;0.8238212335514937;0.9337993831892744;0.9204766545507506;0.5358087171788142;0.9291755214249704;0.9089655688573597
LOW;0.7792968267644509;0.7143308039344264;0.7086867274224207;0.7759278849825451;0.7173430906587526;0.789157039466034;0.79019288494346;0.6555211066809628;0.9125461305707736;0.7424200111509197;0;0.6292709755524979;0.7607090116268611;0.726447609795506;0.7445451255689154;0.6782089100092028;0.5731883911828001;0.8460026167562792;0.616175149467377
MU;0.812770505007358;0.6286610999862975;0.6845440587060493;0.7612083047840112;0.78423782997981;0.722860462545528;0.7429018635615212;0.746668862130022;0.7383772807880883;0.827786874526492;0.6292709755524979;0;0.878600950367774;0.7553505283137592;0.8664123260222549;0.8957392264741092;0.36067693745518353;0.7990350821294298;0.7458215543609331
PCAR;0.9236990457833912;0.8343498496563697;0.845765236672367;0.8759230072662754;0.9029154712609089;0.8324072762184116;0.8870766221071601;0.7806737690053684;0.8037484736639987;0.9472231319342244;0.7607090116268611;0.878600950367774;0;0.8684795515778622;0.9629557190311085;0.9271270604656738;0.5427045979303758;0.9213458963146238;0.8994813568713023
PGR;0.8253061045332489;0.8147656124327978;0.906157592508844;0.7703641827411604;0.828398282013087;0.6457608649396531;0.8656163590053718;0.7587978528026482;0.7261199482555285;0.8238212335514937;0.726447609795506;0.7553505283137592;0.8684795515778622;0;0.8234300550870954;0.8168975923807755;0.3973241989060872;0.8283844811512849;0.8601406762425845
ROK;0.9550613533358835;0.7970313775152152;0.7585448921073918;0.9018063006225919;0.9017244218388741;0.9029380208482752;0.8505586021664789;0.7477748979353044;0.7813953436961564;0.9337993831892744;0.7445451255689154;0.8664123260222549;0.9629557190311085;0.8234300550870954;0;0.926215845051462;0.4664601347820014;0.9374618564805148;0.8712991526935553
SBUX;0.8814786313345679;0.7557781149933278;0.724474720686366;0.8507275505330724;0.854305389372798;0.7840651564997758;0.7775425443676534;0.6618216627553658;0.7770516700747415;0.9204766545507506;0.6782089100092028;0.8957392264741092;0.9271270604656738;0.8168975923807755;0.926215845051462;0;0.4679732231271605;0.8671696486301802;0.865020745194744
HSY;0.5086431281441314;0.6175575719578111;0.4824575299814112;0.5274944569484123;0.4961079548443582;0.4845785302293566;0.4645339070212998;0.2639666629697042;0.5413352338745162;0.5358087171788142;0.5731883911828001;0.36067693745518353;0.5427045979303758;0.3973241989060872;0.4664601347820014;0.4679732231271605;0;0.5254216881603544;0.5177484793845326
